iter	MultiClass
0	0.9968360638
1	0.9281631822
2	0.8726227693
3	0.8336519839
4	0.8042332378
5	0.7753311174
6	0.7520058719
7	0.7317438278
8	0.7143500859
9	0.7017503996
10	0.6891826845
11	0.6776922682
12	0.6690330576
13	0.6642786325
14	0.6569747186
15	0.6505367042
16	0.6449052664
17	0.6402128699
18	0.6348696725
19	0.6297432463
20	0.6257342252
21	0.6213860848
22	0.6195001985
23	0.6169677917
24	0.6141098302
25	0.6109239877
26	0.6078708856
27	0.6052996515
28	0.6031083582
29	0.6004498254
30	0.5985279392
31	0.5953904511
32	0.5938594212
33	0.5904595063
34	0.589456135
35	0.5872790435
36	0.5859688179
37	0.5854783962
38	0.5836583542
39	0.5822203925
40	0.5808967572
41	0.5796792257
42	0.5780909124
43	0.5765254543
44	0.5752473768
45	0.5738153448
46	0.5726687615
47	0.5718529456
48	0.5705850218
49	0.5696389298
50	0.5686253422
51	0.5672523674
52	0.5658981993
53	0.5647863624
54	0.5641762011
55	0.5623040473
56	0.5606699795
57	0.5601236732
58	0.5592704559
59	0.5585418516
60	0.5580212052
61	0.5574439384
62	0.5567262465
63	0.5561383775
64	0.5557120555
65	0.555027104
66	0.5543475552
67	0.5529774073
68	0.5519072865
69	0.5506492257
70	0.5489749755
71	0.5481063819
72	0.5474758254
73	0.5468645889
74	0.5456146925
75	0.5452906402
76	0.5452345994
77	0.5442846909
78	0.5431057631
79	0.542919741
80	0.5425324622
81	0.5421578562
82	0.5414668819
83	0.5391614054
84	0.5378404032
85	0.5376005173
86	0.5371580255
87	0.5368804665
88	0.5362155446
89	0.5350773115
90	0.5348253854
91	0.5342131272
92	0.5337959048
93	0.5334479033
94	0.5327028411
95	0.532074584
96	0.5318244732
97	0.5310600832
98	0.5306591561
99	0.5299936444
100	0.5297765868
101	0.5293345282
102	0.5286698359
103	0.5281020317
104	0.5273485156
105	0.5270131584
106	0.5265683247
107	0.526254291
108	0.5255913769
109	0.5252124582
110	0.5248970727
111	0.524564993
112	0.5242144252
113	0.5238068875
114	0.5231914741
115	0.5231348502
116	0.5220416639
117	0.5218921493
118	0.5217650641
119	0.521340454
120	0.5203143761
121	0.5202689841
122	0.5195490977
123	0.518729531
124	0.5186494512
125	0.5183957841
126	0.5177164779
127	0.5174217256
128	0.5173191847
129	0.5169501766
130	0.5152020661
