iter	Passed	Remaining
0	3	3336
1	6	3150
2	10	3111
3	13	3062
4	16	3005
5	19	2916
6	21	2867
7	24	2826
8	28	2866
9	31	2834
10	34	2823
11	36	2786
12	39	2786
13	42	2784
14	45	2777
15	48	2763
16	51	2735
17	54	2730
18	57	2721
19	60	2723
20	63	2726
21	66	2715
22	69	2700
23	71	2696
24	74	2693
25	77	2689
26	80	2674
27	83	2659
28	86	2651
29	88	2647
30	92	2650
31	94	2638
32	97	2626
33	100	2614
34	102	2601
35	105	2595
36	107	2584
37	110	2578
38	113	2570
39	116	2564
40	118	2558
41	121	2556
42	124	2543
43	126	2536
44	129	2522
45	132	2518
46	134	2513
47	137	2505
48	140	2497
49	142	2492
50	145	2486
51	148	2486
52	151	2482
53	153	2474
54	156	2466
55	159	2463
56	161	2458
57	164	2451
58	167	2446
59	169	2437
60	171	2428
61	174	2419
62	176	2411
63	179	2404
64	181	2401
65	184	2397
66	186	2388
67	189	2380
68	191	2371
69	193	2361
70	196	2355
71	199	2359
72	201	2350
73	204	2344
74	206	2336
75	208	2328
76	211	2321
77	213	2315
78	216	2309
79	218	2305
80	220	2296
81	223	2287
82	225	2279
83	227	2272
84	229	2263
85	231	2255
86	233	2247
87	236	2240
88	238	2233
89	240	2226
90	242	2220
91	245	2215
92	247	2209
93	249	2203
94	252	2198
95	254	2194
96	256	2187
97	259	2185
98	261	2179
99	264	2175
100	267	2173
101	269	2172
102	272	2169
103	275	2166
104	277	2164
105	280	2159
106	282	2156
107	285	2154
108	288	2155
109	291	2154
110	293	2149
111	296	2146
112	299	2148
113	304	2158
114	306	2156
115	309	2152
116	312	2149
117	314	2145
118	316	2140
119	319	2136
120	322	2136
121	324	2130
122	326	2125
123	329	2121
124	331	2114
125	333	2109
126	335	2104
127	338	2100
128	340	2096
129	342	2091
130	344	2085
131	347	2079
132	349	2075
133	351	2071
134	353	2065
135	356	2061
136	358	2058
137	360	2053
138	363	2049
139	365	2044
140	368	2041
141	370	2036
142	372	2032
143	375	2029
144	377	2025
145	379	2020
146	381	2015
147	384	2013
148	387	2010
149	390	2010
150	392	2007
151	394	2002
152	397	1999
153	399	1996
154	402	1992
155	404	1989
156	406	1985
157	409	1982
158	412	1980
159	414	1978
160	417	1976
161	420	1973
162	422	1969
163	424	1965
164	426	1961
165	429	1958
166	432	1957
167	434	1954
168	437	1951
169	439	1948
170	442	1944
171	444	1941
172	447	1939
173	449	1936
174	451	1931
175	454	1927
176	456	1924
177	459	1921
178	461	1918
179	464	1915
180	466	1912
181	468	1908
182	471	1905
183	473	1901
184	475	1897
185	478	1894
186	480	1892
187	483	1888
188	485	1886
189	487	1882
190	490	1879
191	492	1876
192	495	1873
193	497	1869
194	499	1866
195	502	1862
196	504	1859
197	506	1855
198	509	1853
199	511	1849
200	513	1846
201	516	1843
202	518	1840
203	521	1837
204	523	1835
205	526	1831
206	528	1827
207	530	1824
208	533	1821
209	535	1818
210	537	1814
211	540	1811
212	542	1807
213	544	1804
214	547	1801
215	549	1798
216	551	1794
217	553	1790
218	556	1788
219	558	1785
220	561	1782
221	563	1778
222	565	1775
223	568	1772
